filename,reading,fold
meter_20200701.JPEG,1784,1
meter_20251009.JPEG,2279,2
meter_20260130.JPEG,2307,0
meter_20260202.JPEG,2308,2
meter_20260210.JPEG,2310,3
meter_20260214.JPEG,2311,1
meter_20260216.JPEG,2312,2
meter_20260220.JPEG,2313,0
meter_20260224.JPEG,2314,2
meter_20260227.JPEG,2315,4
meter_20260303.JPEG,2316,3
meter_20260307.JPEG,2317,3
meter_20260310.JPEG,2318,4
meter_20260323.JPEG,2320,4
meter_20260401.JPEG,2322,0
meter_20260409.JPEG,2323,1
meter_20260413.JPEG,2324,4
meter_20260416.JPEG,2325,1
meter_20260420.JPEG,2326,0
meter_20260423.JPEG,2327,4
meter_20260427.JPEG,2328,3
meter_20260507.JPEG,2330,1
meter_20260512.JPEG,2331,4
meter_20260515.JPEG,2332,3
meter_20260518.JPEG,2333,2
meter_20260521.JPEG,2334,2
meter_20260524.JPEG,2335,2
meter_20260603.JPEG,2336,1
meter_20260606.JPEG,2337,3
meter_20260610.JPEG,2338,0
meter_20260612.JPEG,2339,1
meter_20260628.JPEG,2345,3
meter_20260719.JPEG,2346,4
meter_20260721.JPEG,2347,0
meter_20260724.JPEG,2348,0
meter_20260803.JPEG,2349,0
